Trainable parameters: 4718592
eval loss: 2.6261 | dt:  5792.80ms
epoch: 1/4 | step:    61/6435 | loss: 2.4348 | lr: 9.4819e-05 | dt:  664.88ms
epoch: 1/4 | step:    62/6435 | loss: 2.4330 | lr: 9.6373e-05 | dt:  712.79ms
epoch: 1/4 | step:    63/6435 | loss: 2.5392 | lr: 9.7927e-05 | dt:  550.60ms
epoch: 1/4 | step:    64/6435 | loss: 2.5548 | lr: 9.9482e-05 | dt:  801.47ms
epoch: 1/4 | step:    65/6435 | loss: 2.6409 | lr: 1.0104e-04 | dt:  645.43ms
epoch: 1/4 | step:    66/6435 | loss: 2.6322 | lr: 1.0259e-04 | dt:  753.61ms
epoch: 1/4 | step:    67/6435 | loss: 2.6373 | lr: 1.0415e-04 | dt:  618.57ms
epoch: 1/4 | step:    68/6435 | loss: 2.2920 | lr: 1.0570e-04 | dt:  603.59ms
epoch: 1/4 | step:    69/6435 | loss: 2.3237 | lr: 1.0725e-04 | dt:  758.38ms
epoch: 1/4 | step:    70/6435 | loss: 2.5551 | lr: 1.0881e-04 | dt:  679.17ms
epoch: 1/4 | step:    71/6435 | loss: 2.7674 | lr: 1.1036e-04 | dt:  1067.27ms
epoch: 1/4 | step:    72/6435 | loss: 2.3587 | lr: 1.1192e-04 | dt:  597.10ms
epoch: 1/4 | step:    73/6435 | loss: 2.5100 | lr: 1.1347e-04 | dt:  665.03ms
epoch: 1/4 | step:    74/6435 | loss: 2.4369 | lr: 1.1503e-04 | dt:  609.70ms
epoch: 1/4 | step:    75/6435 | loss: 2.5026 | lr: 1.1658e-04 | dt:  694.07ms
epoch: 1/4 | step:    76/6435 | loss: 2.7301 | lr: 1.1813e-04 | dt:  548.50ms
epoch: 1/4 | step:    77/6435 | loss: 2.2855 | lr: 1.1969e-04 | dt:  604.70ms
epoch: 1/4 | step:    78/6435 | loss: 2.4654 | lr: 1.2124e-04 | dt:  604.36ms
epoch: 1/4 | step:    79/6435 | loss: 2.4390 | lr: 1.2280e-04 | dt:  714.30ms
epoch: 1/4 | step:    80/6435 | loss: 2.4321 | lr: 1.2435e-04 | dt:  495.37ms
epoch: 1/4 | step:    81/6435 | loss: 2.3461 | lr: 1.2591e-04 | dt:  810.72ms
epoch: 1/4 | step:    82/6435 | loss: 2.0304 | lr: 1.2746e-04 | dt:  723.51ms
epoch: 1/4 | step:    83/6435 | loss: 2.3867 | lr: 1.2902e-04 | dt:  641.14ms
epoch: 1/4 | step:    84/6435 | loss: 2.3590 | lr: 1.3057e-04 | dt:  807.31ms
epoch: 1/4 | step:    85/6435 | loss: 2.2143 | lr: 1.3212e-04 | dt:  886.37ms
epoch: 1/4 | step:    86/6435 | loss: 2.5534 | lr: 1.3368e-04 | dt:  539.61ms
epoch: 1/4 | step:    87/6435 | loss: 2.2824 | lr: 1.3523e-04 | dt:  632.06ms
epoch: 1/4 | step:    88/6435 | loss: 2.3740 | lr: 1.3679e-04 | dt:  678.63ms
epoch: 1/4 | step:    89/6435 | loss: 2.4109 | lr: 1.3834e-04 | dt:  604.13ms
epoch: 1/4 | step:    90/6435 | loss: 2.4872 | lr: 1.3990e-04 | dt:  667.03ms
epoch: 1/4 | step:    91/6435 | loss: 2.1920 | lr: 1.4145e-04 | dt:  891.76ms
epoch: 1/4 | step:    92/6435 | loss: 2.4974 | lr: 1.4301e-04 | dt:  580.52ms
epoch: 1/4 | step:    93/6435 | loss: 2.3169 | lr: 1.4456e-04 | dt:  763.37ms
epoch: 1/4 | step:    94/6435 | loss: 2.4693 | lr: 1.4611e-04 | dt:  911.77ms
epoch: 1/4 | step:    95/6435 | loss: 2.4691 | lr: 1.4767e-04 | dt:  708.00ms
epoch: 1/4 | step:    96/6435 | loss: 2.1908 | lr: 1.4922e-04 | dt:  907.04ms
epoch: 1/4 | step:    97/6435 | loss: 2.3427 | lr: 1.5078e-04 | dt:  906.82ms
epoch: 1/4 | step:    98/6435 | loss: 2.4138 | lr: 1.5233e-04 | dt:  543.18ms
epoch: 1/4 | step:    99/6435 | loss: 2.2750 | lr: 1.5389e-04 | dt:  500.28ms
epoch: 1/4 | step:   100/6435 | loss: 2.0152 | lr: 1.5544e-04 | dt:  672.10ms
eval loss: 2.2542 | dt:  5574.64ms
epoch: 1/4 | step:   101/6435 | loss: 2.5266 | lr: 1.5699e-04 | dt:  685.77ms
epoch: 1/4 | step:   102/6435 | loss: 2.3450 | lr: 1.5855e-04 | dt:  652.35ms
epoch: 1/4 | step:   103/6435 | loss: 2.3324 | lr: 1.6010e-04 | dt:  553.95ms
epoch: 1/4 | step:   104/6435 | loss: 2.3145 | lr: 1.6166e-04 | dt:  734.50ms
epoch: 1/4 | step:   105/6435 | loss: 2.3424 | lr: 1.6321e-04 | dt:  657.43ms
epoch: 1/4 | step:   106/6435 | loss: 2.5254 | lr: 1.6477e-04 | dt:  605.02ms
epoch: 1/4 | step:   107/6435 | loss: 2.3993 | lr: 1.6632e-04 | dt:  664.34ms
epoch: 1/4 | step:   108/6435 | loss: 2.3290 | lr: 1.6788e-04 | dt:  735.69ms
epoch: 1/4 | step:   109/6435 | loss: 2.6520 | lr: 1.6943e-04 | dt:  627.44ms
epoch: 1/4 | step:   110/6435 | loss: 2.6271 | lr: 1.7098e-04 | dt:  699.69ms
epoch: 1/4 | step:   111/6435 | loss: 2.3194 | lr: 1.7254e-04 | dt:  596.53ms
epoch: 1/4 | step:   112/6435 | loss: 2.4435 | lr: 1.7409e-04 | dt:  819.37ms
epoch: 1/4 | step:   113/6435 | loss: 2.2471 | lr: 1.7565e-04 | dt:  585.62ms
epoch: 1/4 | step:   114/6435 | loss: 2.4009 | lr: 1.7720e-04 | dt:  711.12ms
epoch: 1/4 | step:   115/6435 | loss: 2.2871 | lr: 1.7876e-04 | dt:  612.57ms
epoch: 1/4 | step:   116/6435 | loss: 2.3484 | lr: 1.8031e-04 | dt:  601.66ms
epoch: 1/4 | step:   117/6435 | loss: 2.3953 | lr: 1.8187e-04 | dt:  859.70ms
epoch: 1/4 | step:   118/6435 | loss: 2.2101 | lr: 1.8342e-04 | dt:  844.58ms
epoch: 1/4 | step:   119/6435 | loss: 2.3658 | lr: 1.8497e-04 | dt:  615.13ms
epoch: 1/4 | step:   120/6435 | loss: 2.4213 | lr: 1.8653e-04 | dt:  634.81ms
epoch: 1/4 | step:   121/6435 | loss: 2.2296 | lr: 1.8808e-04 | dt:  725.09ms
epoch: 1/4 | step:   122/6435 | loss: 2.2018 | lr: 1.8964e-04 | dt:  845.96ms
epoch: 1/4 | step:   123/6435 | loss: 2.6527 | lr: 1.9119e-04 | dt:  795.40ms
epoch: 1/4 | step:   124/6435 | loss: 2.1127 | lr: 1.9275e-04 | dt:  612.00ms
epoch: 1/4 | step:   125/6435 | loss: 2.2045 | lr: 1.9430e-04 | dt:  837.77ms
epoch: 1/4 | step:   126/6435 | loss: 2.1563 | lr: 1.9585e-04 | dt:  772.07ms
epoch: 1/4 | step:   127/6435 | loss: 2.3121 | lr: 1.9741e-04 | dt:  677.46ms
epoch: 1/4 | step:   128/6435 | loss: 2.6971 | lr: 1.9896e-04 | dt:  745.42ms
epoch: 1/4 | step:   129/6435 | loss: 2.5222 | lr: 2.0052e-04 | dt:  814.81ms
epoch: 1/4 | step:   130/6435 | loss: 2.2483 | lr: 2.0207e-04 | dt:  812.28ms
epoch: 1/4 | step:   131/6435 | loss: 2.2483 | lr: 2.0363e-04 | dt:  883.41ms
epoch: 1/4 | step:   132/6435 | loss: 2.1121 | lr: 2.0518e-04 | dt:  646.02ms
epoch: 1/4 | step:   133/6435 | loss: 2.2019 | lr: 2.0674e-04 | dt:  656.39ms
epoch: 1/4 | step:   134/6435 | loss: 2.4198 | lr: 2.0829e-04 | dt:  589.37ms
epoch: 1/4 | step:   135/6435 | loss: 2.5344 | lr: 2.0984e-04 | dt:  659.78ms
epoch: 1/4 | step:   136/6435 | loss: 2.3809 | lr: 2.1140e-04 | dt:  652.25ms
epoch: 1/4 | step:   137/6435 | loss: 2.2943 | lr: 2.1295e-04 | dt:  655.62ms
epoch: 1/4 | step:   138/6435 | loss: 2.2332 | lr: 2.1451e-04 | dt:  630.76ms
epoch: 1/4 | step:   139/6435 | loss: 2.3899 | lr: 2.1606e-04 | dt:  602.96ms
epoch: 1/4 | step:   140/6435 | loss: 2.3502 | lr: 2.1762e-04 | dt:  587.16ms
epoch: 1/4 | step:   141/6435 | loss: 2.2475 | lr: 2.1917e-04 | dt:  650.51ms
